종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),자본총계per자산총계,부채총계per자산총계,cluster
[024720],한국콜마홀딩스,649.0,기타 금융업,2020-03-31,1분기보고서,1135201746944.0,335838085120.0,799363629056.0,519258669056.0,376266391552.0,142992277504.0,615943045120.0,215093411840.0,0.5425846522683203,0.4574153188663259,5
[021650],한국큐빅,222.0,플라스틱제품 제조업,2017-12-31,사업보고서,143918792704.0,80536723456.0,63382065152.0,94309892096.0,77074587648.0,17235306496.0,49608896512.0,26963075072.0,0.3447006160900153,0.6552993554494903,0
[021650],한국큐빅,222.0,플라스틱제품 제조업,2018-12-31,사업보고서,140787531776.0,73438543872.0,67348979712.0,86211928064.0,69715746816.0,16496180224.0,54575599616.0,27167176704.0,0.3876451197598415,0.6123548511466732,0
[021650],한국큐빅,222.0,플라스틱제품 제조업,2019-03-31,1분기보고서,144325541888.0,76909494272.0,67416043520.0,89169526784.0,71805018112.0,17364508672.0,55156011008.0,27747586048.0,0.38216389342090507,0.61783607819881,0
[021650],한국큐빅,222.0,플라스틱제품 제조업,2019-06-30,반기보고서,141846446080.0,75740536832.0,66105913344.0,85319524352.0,68928339968.0,16391180288.0,56526925824.0,29118502912.0,0.3985078751435152,0.6014921537327811,0
[021650],한국큐빅,222.0,플라스틱제품 제조업,2019-09-30,3분기보고서,136824627200.0,75847475200.0,60977156096.0,77923385344.0,61819514880.0,16103872512.0,58901241856.0,31492818944.0,0.4304871356959926,0.5695128643040074,0
[021650],한국큐빅,222.0,플라스틱제품 제조업,2019-12-31,사업보고서,131106578432.0,70220546048.0,60886036480.0,73890406400.0,58680614912.0,15209787392.0,57216176128.0,30082519040.0,0.4364096509289643,0.5635903803127937,0
[021650],한국큐빅,222.0,플라스틱제품 제조업,2020-03-31,1분기보고서,136968101888.0,74465452032.0,62502645760.0,77729554432.0,62882779136.0,14846780416.0,59238543360.0,32104886272.0,0.43249882668623,0.567501143408997,0
[161390],한국타이어앤테크놀로지,221.0,고무제품 제조업,2017-12-31,사업보고서,9518786281472.0,3534446657536.0,5984339623936.0,3145279995904.0,2273979138048.0,871300726784.0,6373506023424.0,3518984880128.0,0.6695712914397308,0.3304286810206237,1
[161390],한국타이어앤테크놀로지,221.0,고무제품 제조업,2018-12-31,사업보고서,9796441866240.0,3663818391552.0,6132623998976.0,3006129242112.0,2022634029056.0,983495278592.0,6790312886272.0,3995902935040.0,0.6931407320113266,0.30685929474777673,1
[161390],한국타이어앤테크놀로지,221.0,고무제품 제조업,2019-03-31,1분기보고서,10392845680640.0,4084564492288.0,6308280926208.0,3465204465664.0,2558056988672.0,907147476992.0,6927640690688.0,4061657563136.0,0.6665778462960291,0.3334221032569599,1
[161390],한국타이어앤테크놀로지,221.0,고무제품 제조업,2019-06-30,반기보고서,10643919863808.0,4366439809024.0,6277480054784.0,3565889257472.0,2672056074240.0,893833117696.0,7078030606336.0,4153248841728.0,0.664983455052408,0.335016544947592,1
